
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


= Überblick über die ÖPNV-Linien des Oberösterreichischen Verkehrsverbunds

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Ober%C3%B6sterreich/Analyse/OÖVV-Linien|OÖVV Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-O%C3%96VV Informationen] zu dieser Auswertung.
-

=Eisenbahn
S1;train;Linz <=> Garsten;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S1-O-j26-1;
73;bus;"Linz Fernheizkraftwerk - Linz Baintwiese";;;Linz Linien GmbH;AT-Linz_AG;at:esg:73:;
77;bus;"Linz Hauptbahnhof - Linz Universität";;;Linz Linien GmbH;AT-Linz_AG;at:esg:77:;
101;bus;"Linz Urnenhain Urfahr - Linz Aichinger";;;Linz Linien GmbH;AT-Linz_AG;at:esg:101:;
102;bus;"Linz Rudolfstraße - Linz Worathweg";;;Linz Linien GmbH;AT-Linz_AG;at:esg:102:;
103;bus;"Linz Turmstraße - Linz Turmstraße";;;Linz Linien GmbH;AT-Linz_AG;at:esg:103:;
104;bus;"Linz Waldesruh - Linz Sennweg";;;Linz Linien GmbH;AT-Linz_AG;at:esg:104:;
105;bus;"Linz Südpark Linz - Linz Siriusweg";;;Linz Linien GmbH;AT-Linz_AG;at:esg:105:;
106;bus;"Linz Florianer Straße - St.Florian Wambacherberg";;;Linz Linien GmbH;AT-Linz_AG;at:esg:106:;
107;bus;"Linz Ziegeleistraße - Linz Hatschekstraße";;;Linz Linien GmbH;AT-Linz_AG;at:esg:107:;
108;bus;"Simonystraße - Industriepark Lunzerstraße";;;Linz Linien GmbH;AT-Linz_AG;at:esg:108:;
150;bus;"Pöstlingberg - Landgutstraße";;;Linz Linien GmbH;AT-Linz_AG;at:esg:150:;
191;bus;"Linz Gaumberg - Traun St. Martin";;;Linz Linien GmbH;AT-Linz_AG;at:esg:191:;
192;bus;"Leonding Stadtplatz Leonding - Linz Theatergasse";;;Linz Linien GmbH;AT-Linz_AG;at:esg:192:;
194;bus;"Linz Stadion - Linz Neue Heimat";;;Linz Linien GmbH;AT-Linz_AG;at:esg:194:;
N83;bus;"Linz Hafen- Linz Neue Heimat";;;Linz Linien GmbH;AT-Linz_AG;at:esg:83:;

=Wels Stadtbusse
A1;bus;"K.-J.-Platz - Salzburger Straße - Noitzmühle - Dragonerstraße - K.-J.-Platz Stadtverkehr Wels Noitzmühle - Dragonerstraße";;;Wels Linien GmbH;AT-OOeVV;at:oov:120011:;
A2;bus;"K.-J.-Platz - Gartenstraße - Kreßstraße - Vogelweide - K.-J.-Platz Stadtverkehr Wels Gartenstraße - Vogelweide";;;Wels Linien GmbH;AT-OOeVV;at:oov:120021:;
1;bus;"Wels Straubingersiedlung - Klinikum - Hbf - K.-J.-Platz - Schulstraße - Nötzmühle Stadtverkehr Wels Straubingersiedlung";;;Wels Linien GmbH;AT-OOeVV;at:oov:12001:;
2;bus;"Flemingstraße - Vogelweiderplatz - K.-J.-Platz - Hbf- Industriestraße - Billingerstraße Stadtverkehr Wels Flemingstraße - Billingstraße";;;Wels Linien GmbH;AT-OOeVV;at:oov:12002:;
3;bus;"Dickerldorf - Hbf - K.J.Platz - Camillo-Schulz-Straße - Kreßstraße Stadtverkehr Wels Dickeldorf - Kreßstraße";;;Wels Linien GmbH;AT-OOeVV;at:oov:12003:;
4;bus;"Wels Noitzmühle - K.-J.-Platz - Hbf - Nicol-Dostal-Straße Stadtverkehr Wels Noitzmühle - N.-Dostal-Straße";;;Wels Linien GmbH;AT-OOeVV;at:oov:12004:;
6;bus;"Wels Vogelweide Schule - Oberthan - Flemingstraße - Vogelweide Schule Stadtverkehr Wels Vogelweide/Pernau Schulen";;;Wels Linien GmbH;AT-OOeVV;at:oov:12006:;
8;bus;"Wels Pernau Schule - Ghegastraße - Maxlhaid - Dickerldorf - Pernau Schule Stadtverkehr Wels Pernau Schule";;;Wels Linien GmbH;AT-OOeVV;at:oov:12008:;
9;bus;"Wels Hbf - Straubingersiedlung - Mitterlaab - Unterhart - Hbf Stadtverkehr Wels Hbf - Mitterlaab - Unterhart";;;Wels Linien GmbH;AT-OOeVV;at:oov:12009:;
11;bus;"Wels Mauth Schule - Straubingersiedlung - Anne-Frank-Straße - Vogelweiderplatz Stadtverkehr Wels Mauth Schule - Vogelweiderplatz";;;Wels Linien GmbH;AT-OOeVV;at:oov:12011:;
13;bus;"Wels Stadlhof - Klinikum - Hbf - Flugplatz - ROLA-Terminal Stadtverkehr Wels Stadlhof - ROLA-Terminal";;;Wels Linien GmbH;AT-OOeVV;at:oov:12013:;
14;bus;"Wels Hbf - Flugplatz - Oberhart - Stadlhof - Klinikum - Hbf Stadtverkehr Wels Hbf - Stadlhof";;;Wels Linien GmbH;AT-OOeVV;at:oov:12014:;
15;bus;"Wels Hbf - K.-J.-Platz - Thalheim Stadtverkehr Wels Hbf - Thalheim";;;Wels Linien GmbH;AT-OOeVV;at:oov:12015:;
16;bus;"Wels Hbf - K.-J.-Platz - Bauernstraße - Schwimmbad Wels Stadtverkehr Hbf - Schwimmbad";;;Wels Linien GmbH;AT-OOeVV;at:oov:12016:;
21;bus;"Wels K.-J.-Platz - Friedhofwirt Sonderfahrplan 01. November Stadtverkehr Wels K.-J.-Platz - Friedhofwirt";;;Wels Linien GmbH;AT-OOeVV;at:oov:12021:;

=Steyr Stadtbusse
1;bus;"Bahnhof - Münichholz - Bahnhof Stadtverkehr Steyr Linie 1";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11001:;
2/4;bus;"Bahnhof - Resthof - Tabor - Bahnhof Stadtverkehr Steyr Linie 2/4";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:110024:;
2a;bus;"Bahnhof - Resthof - Bahnhof Stadtverkehr Steyr Linie 2a";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:110021:;
2b;bus;"Bahnhof - Krankenhaus - Bahnhof Stadtverkehr Steyr Linie 2b";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:110022:;
3;bus;"Bahnhof - Ennsleite - Stadtplatz Stadtverkehr Steyr Linie 3";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:110031:;
3a;bus;"Bahnhof - Neuschönau - Ennsleite - Bahnhof Stadtverkehr Steyr Linie 3a";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:110032:;
3b;bus;"Bahnhof - Pachergasse - Ennsleite - Bahnhof Stadtverkehr Steyr Linie 3b";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:110033:;
4;bus;"Bahnhof - Steyrdorf - Tabor - Bahnhof Stadtverkehr Steyr Linie 4";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11004:;
5;bus;"Bahnhof - Stadtgut Stadtverkehr Steyr Linie 5";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11005:;
6;bus;"Bahnhof - Waldrandsiedlung - Bahnhof Stadtverkehr Steyr Linie 6";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11006:;
7;bus;"Bahnhof - Schlüsselhof - Bahnhof Stadtverkehr Steyr Linie 7";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11007:;
8;bus;"Bahnhof - Christkindlsiedlung - Sarning - Bahnhof Stadtverkehr Steyr Linie 8";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11008:;
8a;bus;"Bahnhof - Christkindlsiedlung - Sarning - Bahnhof Stadtverkehr Steyr Linie 8";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:110081:;
8b;bus;"Bahnhof - Christkindlsiedlung - Sarning - Bahnhof Stadtverkehr Steyr Linie 8";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:110082:;
9;bus;"Bahnhof - Stadtplatz - Bahnhof Stadtverkehr Steyr Linie 9";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11009:;
10;bus;"Bahnhof - Stadtplatz - Tabor - Bahnhof (Einkaufslinie) Stadtverkehr Steyr Linie 10";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11010:;
20;bus;"Bahnhof - Stadtplatz - Ennsleite - Münichholz - Gleink - Resthof - Tabor - Wehrgraben - Bahnhof Stadtverkehr Steyr Linie 20 Abendlinie";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11020:;
21;bus;"Bahnhof - Wehrgraben - Tabor - Resthof - Gleink - Münichholz - Ennsleite - Stadtplatz - Bahnhof Stadtverkehr Steyr Linie 21 Abendlinie";;;Stadtbetriebe Steyr GmbH;AT-OOeVV;at:oov:11021:;



=Regionalbuslinien
==Bereich 2xx
200;bus;"Linz - Ottensheim - Feldkirchen/D. - Aschach/D. Linz - Ottensheim - Feldkirchen/D. - Aschach/D.";;;Österreichische Postbus AG;AT-OOeVV;at:oov:45200:;
201;bus;"Linz - Ottensheim - Goldwörth - Feldkirchen/D. - Aschach/D. - Eferding Linz - Ottensheim - Goldwörth - Feldkirchen - Aschach - Eferding";;;Österreichische Postbus AG;AT-OOeVV;at:oov:45201:;
203;bus;"Feldkirchen/D. - Goldwörth - Freudenstein - Bad Mühllacken - Oberlandshaag Feldkirchen - Goldwörth - Bad Mühllacken - Oberlandshaag";;;Österreichische Postbus AG;AT-OOeVV;at:oov:45203:;
204;bus;"Eferding - Hartkirchen - Feldkirchen/D. - Neufelden - Rohrbach-Berg Eferding - Hartkirchen - Feldkirchen/D. - Rohrbach-Berg";;;Österreichische Postbus AG;AT-OOeVV;at:oov:45204:;
208;bus;"Linz voestalpine - Ottensheim - Aschach/D. - Hartkirchen Linz voestalpine - Ottensheim - Aschach/D. - Hartkirchen";;;Österreichische Postbus AG;AT-OOeVV;at:oov:45208:;
209;bus;"Linz voestalpine - Feldkirchen/D. - Hartkirchen - Haibach o. d. Donau Linz voestalpine - Feldkirchen/D. - Hartkirchen - Haibach o. d. Donau";;;Österreichische Postbus AG;AT-OOeVV;at:oov:45209:;
211;bus;"Lembach i. Mkr. - Niederkappel - Hofkirchen i. Mkr. - Niederranna Lembach i. Mkr. - Niederkappel - Hofkirchen i. Mkr. - Niederranna";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:29211:;
212;bus;"Lembach - Pfarrkirchen - Hofkirchen - Oberkappel - Neustift - Niederranna Lembach - Hofkirchen - Neustift - Niederranna";;;Dr. Richard -Standort Oberösterreich;AT-OOeVV;at:oov:292121:;
212;bus;"Lembach - Pfarrkirchen - Hofkirchen - Oberkappel - Neustift - Niederranna Lembach - Hofkirchen - Neustift - Niederranna";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:292124:;
214;bus;"Kirchberg ob der Donau - Altenfelden - Neufelden Kirchberg ob der Donau - Altenfelden - Neufelden";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29214:;
215;bus;"Linz - Ottensheim - Kleinzell - Lembach i. Mkr. Linz - Ottensheim - Kleinzell - Lembach i. Mkr.";;;Dr. Richard -Standort Oberösterreich;AT-OOeVV;at:oov:29215:;
216;bus;"Niederwaldkirchen - Kleinzell - Neufelden - (Rohrbach-Berg) Niederwaldkirchen - Kleinzell i.M. - Neufelden";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29216:;
218;bus;"Linz voestalpine - Neufelden - Lembach i. Mkr. - Hofkirchen i. Mkr. Linz voestalpine - Hofkirchen i. Mkr.";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29218:;
219;bus;"Linz voestalpine - Neufelden - Lembach i. Mkr. - Hofkirchen i. Mkr. Linz voestalpine - Neufelden - Lembach i. M. - Hofkirchen i. M.";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:29219:;
220;bus;"Lembach i. Mkr. - Putzleinsdorf - Sarleinsbach - Rohrbach-Berg Lembach i. Mkr. - Putzleinsdorf - Sarleinsbach - Rohrbach-Berg";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:29220:;
228;bus;"Linz voestalpine - Haselbach - Sarleinsbach - Nebelberg Linz voestalpine - Sarleinsbach - Nebelberg";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29228:;
229;bus;"Linz voestalpine - Sarleinsbach - Kollerschlag - Nebelberg Stift am Grenzbach Linz voestalpine - Nebelberg";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29229:;
230;bus;"Linz - Ottensheim - Rottenegg - Kleinzell - Neufelden - Rohrbach Linz - Neufelden - KEIN DRUCK KO215, 230, 231 KO230, 231";;;Dr. Richard -Standort Oberösterreich;AT-OOeVV;at:oov:292301:;
230;bus;"Linz - Ottensheim - Rottenegg - Kleinzell - Neufelden - Rohrbach Linz - Neufelden - KEIN DRUCK KO215, 230, 231 KO230, 231";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:292308:;
231;bus;"Linz- St.Martin -Neufelden - Altenfelden - Rohrbach Linz - St.Martin - KEIN DRUCK KO200 KO230, 231";;;Dr. Richard -Standort Oberösterreich;AT-OOeVV;at:oov:292311:;
231;bus;"Linz- St.Martin -Neufelden - Altenfelden - Rohrbach Linz - St.Martin - KEIN DRUCK KO200 KO230, 231";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:292318:;
233;bus;"Rohrbach-Berg - Oepping - Peilstein - Kollerschlag - Oberkappel - Neustift Rohrbach-Berg - Oepping - Peilstein - Oberkappel - Neustift";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29233:;
237;bus;"Neufelden/Rohrbach-Berg - Sarleinsbach - Kollerschlag - Mollmannsreith/Nebelberg Neufelden- Kollerschlag - Nebelberg";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29237:;
238;bus;"Linz voestalpine - Rohrbach-Berg - Oepping - Peilstein - Julbach i. Mkr. Linz voestalpine - Peilstein - Julbach i. Mkr.";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29238:;
239;bus;"Linz voestalpine - Rohrbach-Berg - Oepping - Peilstein - Julbach i. Mkr. Linz voestalpine - Peilstein Julbach i. Mkr.";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29239:;
240;bus;"Linz - Rottenegg - Eschelberg/St. Gotthard - Niederwaldkirchen - St.Peter/Wbg. Linz - Eschelberg - St.Peter/Wbg.";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:29240:;
241;bus;"Gerling - Herzogsdorf - Niederwaldkirchen Gerling - Herzogsdorf - Niederwaldkirchen";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29240:;
245;bus;"St. Peter/Wbg. - Auberg - Arnreit - Rohrbach-Berg St. Peter/Wbg. - Auberg - Arnreit - Rohrbach-Berg";;;Österreichische Postbus AG;AT-OOeVV;at:oov:33245:;
247;bus;"St. Veit i. Mkr. - Niederwaldkirchen St. Veit i. Mkr. - Niederwaldkirchen";;;Wilhelm Welser Verkehrsbetriebe GmbH;AT-OOeVV;at:oov:33247:;
249;bus;"Linz voestalpine - Herzogsdorf - St. Johann/Wbg. - St. Peter/Wbg. Linz voestalpine - Herzogsdorf - St. Johann/Wbg. - St. Peter/Wbg.";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:29249:;
250;bus;"Linz - Gramastetten - St.Veit - St.Johann/Wbg. - St.Peter/Wbg. Linz - Gramastetten - St.Veit - St.Peter/Wbg.";;;Wilhelm Welser Verkehrsbetriebe GmbH;AT-OOeVV;at:oov:33250:;
251;bus;"Linz - Gramastetten - St.Veit - St.Johann/Wbg. - St.Peter/Wbg. Linz - Gramastetten - St.Veit - St.Peter/Wbg.";;;Wilhelm Welser Verkehrsbetriebe GmbH;AT-OOeVV;at:oov:33251:;
252;bus;"Linz - Lichtenberg - Eidenberg - Zwettl/Rodl Linz - Lichtenberg Eidenberg (- Zwettl/Rodl)";;;Österreichische Postbus AG;AT-OOeVV;at:oov:33252:;
253;bus;"Linz JKU - Lichtenberg - Gramastetten Linz JKU - Lichtenberg - Gramastetten";;;Österreichische Postbus AG;AT-OOeVV;at:oov:33253:;
256;bus;"St. Veit i. Mkr. - St. Johann/Wbg. - St.Peter/Wbg. - Haslach/Mühl - Rohrbach-Berg St. Veit i. Mkr. - St. Peter/Wbg. - Haslach/Mühl - Rohrbach-Berg";;;Österreichische Postbus AG;AT-OOeVV;at:oov:33256:;
259;bus;"Haslach/Mühl Marktplatz - Haslach/Mühl Bahnhof Haslach/Mühl Marktplatz - Haslach/Mühl Bahnhof";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:31259:;
260;bus;"Linz - Kirchschlag - Hellmonsödt - Reichenau - Schenkenfelden - Reichenthal Linz - Kirchschlag - Reichenau - Reichenthal";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:31260:;
265;bus;"Linz - Zwettl/Rodl - Oberneukirchen - Waxenberg - Helfenberg - Haslach/Mühl - Rohrbach-Berg - Aigen-Schlägl Linz - Oberneukirchen - Helfenberg - Rohrbach-Berg";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:31265:;
267;bus;"Linz - Zwettl/Rodl - Oberneukirchen - Waxenberg - Traberg - Helfenberg Linz - Oberneukirchen - Traberg - (Helfenberg)";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:31267:;
270;bus;"Linz - Zwettl/Rodl - Bad Leonfelden - Vorderweißenbach Linz - Zwettl/Rodl - Bad Leonfelden (- Vorderweißenbach)";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:31270:;
277;bus;"Freistadt - Reichenthal - Bad Leonfelden - Vorderweißenbach - St. Stefan-Afiesl - Haslach/Mühl - Rohrbach-Berg Freistadt - Bad Leonfelden - Haslach/Mühl - Rohrbach-Berg";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:31277:;
278;bus;"Haslach/Mühl - St. Oswald b. Haslach Haslach/Mühl - St. Oswald b. Haslach";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:31278:;
279;bus;"Linz voestalpine - Zwettl/Rodl - Bad Leonfelden - Vorderweißenbach - Helfenberg - Haslach/Mühl Linz voestalpine - Bad Leonfelden - Haslach/Mühl";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:31279:;
280;bus;"Rohrbach-Berg - Aigen-Schlägl - Ulrichsberg Rohrbach-Berg - Ulrichsberg";;;Dr. Richard -Standort Oberösterreich;AT-OOeVV;at:oov:29280:;
281;bus;"Ulrichsberg - Klaffer a. H. - Schwarzenberg Ulrichsberg - Klaffer - Schwarzenberg a. B.";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29281:;
282;bus;"Neufelden - Rohrbach-Berg - Aigen-Schlägl - Ulrichsberg Neufelden - Rohrbach-Berg Aigen-Schlägl - Ulrichsberg";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29282:;
283;bus;"Rohrbach-Berg - Aigen-Schlägl - Ulrichsberg - Klaffer a. H. - Schöneben/Hochficht Rohrbach-Berg - Klaffer - Schöneben/Hochficht";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29283:;
284;bus;"Ulrichsberg - Julbach i. Mkr. Ulrichsberg - Julbach i. Mkr.";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29284:;
288;bus;"Linz voestalpine - Linz Hafen - Rohrbach-Berg - Aigen-Schlägl - Schwarzenberg Linz voestalpine - Aigen-Schlägl - Schwarzenberg";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29288:;
289;bus;"Linz voestalpine - Rohrbach-Berg - Aigen-Schlägl - Ulrichsberg - Schwarzenberg Linz voestalpine - Aigen-Schlägl - Schwarzenberg";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:29289:;

==Bereich 3xx
300;bus;"Linz - Hellmonsödt - Reichenau - Schenkenfelden - Reichenthal Linz - Hellmonsödt - Reichenau - Reichenthal";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:31300:;
305;bus;"Linz - Altenberg - Haibach i Mkr. - Reichenau Linz - Altenberg - Haibach i. Mkr. - Reichenau";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:31305:;
306;bus;"Linz - Altenberg - Oberbairing Linz - JKU - Elmberg - Altenberg Oberbairing";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:31306:;
309;bus;"Linz - Linz Chemiepark - Hellmonsödt - Reichenau - Schenkenfelden - Reichenthal Linz - Chemiepark - Hellmonsödt - Reichenau - Reichenthal";;;sabtours Busbetrieb GmbH;AT-OOeVV;at:oov:31309:;
310;bus;"Linz - Neumarkt i. Mkr. - Freistadt (Schnellverkehr) Linz - Neumarkt i. Mkr.- Freistadt";;;Österreichische Postbus AG;AT-OOeVV;at:oov:22310:;
311;bus;"Linz - JKU - Pregarten - Hagenberg - Götschka - Freistadt Linz - Pregarten - Hagenberg - Freistadt";;;Österreichische Postbus AG;AT-OOeVV;at:oov:22311:;
312;bus;"Linz - Gallneukirchen - Unterweitersdorf - Loibersdorf - Neumarkt i. Mkr. - Freistadt Linz - Gallneukirchen - Unterweitersdorf - Freistadt";;;Österreichische Postbus AG;AT-OOeVV;at:oov:22312:;
314;bus;"Linz - Gallneukirchen - Alberndorf - Pröselsdorf - Wintersdorf Linz - Gallneukirchen - Alberndorf - Pröselsdorf";;;Österreichische Postbus AG;AT-OOeVV;at:oov:22314:;
315;bus;"Linz - Treffling - Schweinbach - Engerwitzdorf - Gallneukirchen Linz - Treffling - Engerwitzdorf - Gallneukirchen";;;Wilhelm Welser Verkehrsbetriebe GmbH;AT-OOeVV;at:oov:22315:;
316;bus;"Gallneukirchen - Unterweitersdorf - Wartberg o. d. Aist - Pregarten - Hagenberg Gallneukirchen - Pregarten - Hagenberg";;;Wilhelm Welser Verkehrsbetriebe GmbH;AT-OOeVV;at:oov:22316:;
317;bus;"Gallneukirchen - Reichenau - Bad Leonfelden Gallneukirchen - Reichenau - Bad Leonfelden";;;Österreichische Postbus AG;AT-OOeVV;at:oov:22317:;
319;bus;"Linz voestalpine - Freistadt - Windhaag (Schnellverkehr) Linz voestalpine - Freistadt - Windhaag (Schnellverkehr)";;;Österreichische Postbus AG;AT-OOeVV;at:oov:22319:;
320;bus;"Freistadt - Waldburg - Bad Leonfelden Freistadt - Waldburg - Bad Leonfelden";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:22320:;
321;bus;"Bad Leonfelden - Schenkenfelden - Reichenthal - Waldburg - Freistadt Bad Leonfelden - Reichenthal - Waldburg - Freistadt";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:22321:;
322;bus;"Freistadt - Waldburg - Hirschbach - Guttenbrunn - Waldburg - Freistadt Freistadt - Hirschbach - Guttenbrunn - Freistadt";;;Leitner Adelheid GmbH;AT-OOeVV;at:oov:22322:;
